city,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,weather_code,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,month,season,temperature_max,temperature_min,temperature_avg,rainfall,wind_speed,risk_label
Delhi,2000-01-01,19.9,7.4,19.2,5.8,0.0,0.0,0,10.9,13.3,58,1,Rabi,19.9,7.4,13.649999999999999,0.0,10.9,0
Delhi,2000-01-02,20.0,5.5,18.9,3.4,0.0,0.0,3,9.5,14.8,326,1,Rabi,20.0,5.5,12.75,0.0,9.5,0
Delhi,2000-01-03,20.1,6.3,18.2,4.3,0.0,0.0,0,10.0,23.8,309,1,Rabi,20.1,6.3,13.200000000000001,0.0,10.0,0
Delhi,2000-01-04,19.8,6.4,18.5,4.2,0.0,0.0,0,8.6,18.7,311,1,Rabi,19.8,6.4,13.100000000000001,0.0,8.6,0
Delhi,2000-01-05,19.4,5.3,17.7,3.2,0.0,0.0,0,9.4,20.2,322,1,Rabi,19.4,5.3,12.35,0.0,9.4,0
Delhi,2000-01-06,19.2,6.0,16.2,3.6,0.0,0.0,0,15.3,30.6,303,1,Rabi,19.2,6.0,12.6,0.0,15.3,0
Delhi,2000-01-07,19.1,5.6,17.3,3.5,0.0,0.0,3,10.0,17.6,322,1,Rabi,19.1,5.6,12.350000000000001,0.0,10.0,0
Delhi,2000-01-08,20.3,6.3,20.0,4.6,0.0,0.0,3,9.0,18.7,110,1,Rabi,20.3,6.3,13.3,0.0,9.0,0
Delhi,2000-01-09,22.0,9.9,21.1,8.5,0.0,0.0,3,13.3,26.3,124,1,Rabi,22.0,9.9,15.95,0.0,13.3,0
Delhi,2000-01-10,19.1,11.4,19.2,10.9,0.0,0.0,3,11.7,20.5,104,1,Rabi,19.1,11.4,15.25,0.0,11.7,0
Delhi,2000-01-11,23.0,11.1,21.7,10.3,0.0,0.0,3,11.9,24.8,113,1,Rabi,23.0,11.1,17.05,0.0,11.9,0
Delhi,2000-01-12,22.8,13.0,21.0,11.2,15.4,15.4,63,24.5,45.0,120,1,Rabi,22.8,13.0,17.9,15.4,24.5,0
Delhi,2000-01-13,18.9,10.5,18.5,9.2,2.7,2.7,53,11.8,23.8,41,1,Rabi,18.9,10.5,14.7,2.7,11.8,0
Delhi,2000-01-14,18.1,7.9,16.7,4.5,0.0,0.0,3,10.0,16.9,288,1,Rabi,18.1,7.9,13.0,0.0,10.0,0
Delhi,2000-01-15,15.8,3.6,13.0,0.6,0.0,0.0,0,10.4,24.5,324,1,Rabi,15.8,3.6,9.700000000000001,0.0,10.4,0
Delhi,2000-01-16,15.8,4.2,11.8,1.3,0.0,0.0,0,17.9,36.0,319,1,Rabi,15.8,4.2,10.0,0.0,17.9,0
Delhi,2000-01-17,17.4,5.3,14.0,1.7,0.0,0.0,2,16.3,33.8,302,1,Rabi,17.4,5.3,11.35,0.0,16.3,0
Delhi,2000-01-18,20.4,7.0,16.2,3.3,0.0,0.0,3,19.3,37.4,298,1,Rabi,20.4,7.0,13.7,0.0,19.3,0
Delhi,2000-01-19,21.3,8.9,17.5,4.8,0.0,0.0,1,19.5,37.1,294,1,Rabi,21.3,8.9,15.100000000000001,0.0,19.5,0
Delhi,2000-01-20,21.2,9.7,17.5,6.1,0.0,0.0,3,20.9,40.3,298,1,Rabi,21.2,9.7,15.45,0.0,20.9,0
Delhi,2000-01-21,21.7,8.2,19.7,6.2,0.7,0.7,51,12.2,24.8,101,1,Rabi,21.7,8.2,14.95,0.7,12.2,0
Delhi,2000-01-22,20.0,10.3,18.2,8.8,0.2,0.2,51,11.5,24.5,98,1,Rabi,20.0,10.3,15.15,0.2,11.5,0
Delhi,2000-01-23,21.2,8.2,20.7,6.9,0.0,0.0,0,9.9,22.3,342,1,Rabi,21.2,8.2,14.7,0.0,9.9,0
Delhi,2000-01-24,22.1,8.3,20.7,6.7,0.0,0.0,0,8.8,20.2,328,1,Rabi,22.1,8.3,15.200000000000001,0.0,8.8,0
Delhi,2000-01-25,20.1,9.8,19.4,8.1,11.4,11.4,61,14.1,27.4,94,1,Rabi,20.1,9.8,14.950000000000001,11.4,14.1,0
Delhi,2000-01-26,20.3,12.7,19.5,11.3,7.5,7.5,61,15.5,38.2,75,1,Rabi,20.3,12.7,16.5,7.5,15.5,0
Delhi,2000-01-27,18.7,10.4,16.8,8.4,3.8,3.8,55,14.8,31.7,317,1,Rabi,18.7,10.4,14.55,3.8,14.8,0
Delhi,2000-01-28,19.5,8.7,16.5,5.9,0.0,0.0,0,21.1,40.7,301,1,Rabi,19.5,8.7,14.1,0.0,21.1,0
Delhi,2000-01-29,20.4,8.7,16.4,4.5,0.0,0.0,0,21.3,40.7,296,1,Rabi,20.4,8.7,14.549999999999999,0.0,21.3,0
Delhi,2000-01-30,22.2,8.3,21.3,5.9,0.0,0.0,2,11.3,22.3,289,1,Rabi,22.2,8.3,15.25,0.0,11.3,0
Delhi,2000-01-31,22.1,10.4,19.4,8.0,0.0,0.0,0,25.4,47.2,116,1,Rabi,22.1,10.4,16.25,0.0,25.4,0
Delhi,2000-02-01,20.7,11.9,20.7,9.5,0.0,0.0,2,22.2,39.6,115,2,Rabi,20.7,11.9,16.3,0.0,22.2,0
